Von;Bis;Ferien 
2013-03-25;2013-04-09;Osterferien
2013-05-10;2013-05-10;Pfingstferien
2013-06-24;2013-08-03;Sommerferien
2013-10-04;2013-10-18;Herbstferien
2013-12-23;2014-01-06;Weihnachtsferien
2014-04-16;2014-05-02;Osterferien
2014-05-30;2014-05-30;Pfingstferien
2014-07-14;2014-08-23;Sommerferien
2014-10-13;2014-10-25;Herbstferien
2014-12-22;2015-01-06;Weihnachtsferien
2015-04-01;2015-04-17;Osterferien
2015-05-15;2015-05-15;Pfingstferien
2015-07-20;2015-08-29;Sommerferien
2015-10-19;2015-10-31;Herbstferien
2015-12-21;2016-01-06;Weihnachtsferien
2016-03-24;2016-04-09;Osterferien
2016-05-06;2016-05-06;Pfingstferien
2016-07-25;2016-09-03;Sommerferien
2016-10-17;2016-10-29;Herbstferien
2016-12-23;2017-01-06;Weihnachtsferien
2017-04-07;2017-04-21;Osterferien
2017-05-26;2017-05-26;Pfingstferien
2017-07-24;2017-09-02;Sommerferien
2017-10-16;2017-10-27;Herbstferien
2017-12-21;2018-01-06;Weihnachtsferien
2018-03-29;2018-04-13;Osterferien
2018-05-11;2018-05-11;Pfingstferien
2018-07-09;2018-08-18;Sommerferien
2018-10-01;2018-10-19;Herbstferien
2018-12-21;2018-12-28;Weihnachtsferien
